assay_id,image_id,gene,gene name
60945,1102_E9_3,ENSG00000106367,AP1S1
60945,1102_E9_4,ENSG00000106367,AP1S1
41082,860_D8_1,ENSG00000126602,TRAP1
41082,860_D8_2,ENSG00000126602,TRAP1
44227,713_G1_1,ENSG00000126602,TRAP1
44227,713_G1_3,ENSG00000126602,TRAP1
44227,si31_G10_1,ENSG00000126602,TRAP1
44227,si31_G10_4,ENSG00000126602,TRAP1
44227,si31_G10_7,ENSG00000126602,TRAP1
44227,si31_G10_13,ENSG00000126602,TRAP1
44227,si31_G11_1,ENSG00000126602,TRAP1
44227,si31_G11_2,ENSG00000126602,TRAP1
44227,si31_G11_9,ENSG00000126602,TRAP1
44227,si31_G11_20,ENSG00000126602,TRAP1
44227,si31_G12_2,ENSG00000126602,TRAP1
44227,si31_G12_3,ENSG00000126602,TRAP1
44227,si31_G12_6,ENSG00000126602,TRAP1
44227,si31_G12_11,ENSG00000126602,TRAP1
3364,35_D9_1,ENSG00000138326,RPS24
3364,35_D9_2,ENSG00000138326,RPS24
73508,1893_N16_16_cr5bc065f8b071c,ENSG00000138326,RPS24
73508,1893_N16_28_cr5bc065f8b0f0d,ENSG00000138326,RPS24
14255,1637_E5_1_cr57b2e70726b55,ENSG00000267534,S1PR2
14255,1637_E5_10_cr57b2e70d44441,ENSG00000267534,S1PR2
46260,884_C9_1,ENSG00000100300,TSPO
46260,884_C9_2,ENSG00000100300,TSPO
72304,1893_E13_15_cr5bc47bec0da13,ENSG00000100300,TSPO
72304,1893_E13_28_cr5bc47bec0e135,ENSG00000100300,TSPO
12636,96_A2_3,ENSG00000106268,NUDT1
12636,96_A2_4,ENSG00000106268,NUDT1
75639,1901_L18_1,ENSG00000172201,ID4
75639,1901_L18_5,ENSG00000172201,ID4
29213,275_A10_1,ENSG00000027697,IFNGR1
29213,275_A10_2,ENSG00000027697,IFNGR1
1400,29_C2_1,ENSG00000106348,IMPDH1
1400,29_C2_2,ENSG00000106348,IMPDH1
17368,642_A8_3,ENSG00000155660,PDIA4
17368,642_A8_4,ENSG00000155660,PDIA4
67113,1754_H5_13_cr57f3e9d007832,ENSG00000117475,BLZF1
67113,1754_H5_18_cr57f3e9d94d62b,ENSG00000117475,BLZF1
54567,872_C5_1,ENSG00000186448,ZNF197
54567,872_C5_2,ENSG00000186448,ZNF197
28671,1055_G6_1,ENSG00000172667,ZMAT3
28671,1055_G6_2,ENSG00000172667,ZMAT3
54356,834_D8_2,ENSG00000172667,ZMAT3
54356,834_D8_4,ENSG00000172667,ZMAT3
77945,1953_E10_2,ENSG00000176723,ZNF843
77945,1953_E10_6,ENSG00000176723,ZNF843
47250,725_A9_1,ENSG00000152749,GPR180
47250,725_A9_3,ENSG00000152749,GPR180
26731,607_G2_1,ENSG00000121310,ECHDC2
26731,607_G2_2,ENSG00000121310,ECHDC2
65010,1154_B8_1,ENSG00000177614,PGBD5
65010,1154_B8_2,ENSG00000177614,PGBD5
24433,967_C3_1,ENSG00000181284,TMEM102
24433,967_C3_2,ENSG00000181284,TMEM102
4733,1913_G3_1,ENSG00000169083,AR
4733,1913_G3_4,ENSG00000169083,AR
40141,1942_G11_5_cr604a09028a113,ENSG00000118307,DNAI7
40141,1942_G11_28_cr604a09028a1aa,ENSG00000118307,DNAI7
2945,53_D12_1,ENSG00000100104,SRRD
2945,53_D12_2,ENSG00000100104,SRRD
41884,490_H7_1,ENSG00000130876,SLC7A10
41884,490_H7_3,ENSG00000130876,SLC7A10
43028,565_F3_1,ENSG00000168906,MAT2A
43028,565_F3_2,ENSG00000168906,MAT2A
40070,411_G10_1,ENSG00000111011,RSRC2
40070,411_G10_2,ENSG00000111011,RSRC2
62474,1286_D4_1,ENSG00000182986,ZNF320
62474,1286_D4_4,ENSG00000182986,ZNF320
24638,955_E1_2,ENSG00000058085,LAMC2
24638,955_E1_3,ENSG00000058085,LAMC2
46539,835_H11_1,ENSG00000058085,LAMC2
46539,835_H11_2,ENSG00000058085,LAMC2
46540,835_A12_1,ENSG00000058085,LAMC2
46540,835_A12_2,ENSG00000058085,LAMC2
5812,1123_H3_1,ENSG00000224578,HNRNPA1L3
5812,1123_H3_2,ENSG00000224578,HNRNPA1L3
77520,1957_B4_4_cr5da421cda70e6,ENSG00000224578,HNRNPA1L3
77520,1957_B4_9_cr5da421cda7218,ENSG00000224578,HNRNPA1L3
51200,1773_D9_2,ENSG00000101265,RASSF2
51200,1773_D9_3,ENSG00000101265,RASSF2
23252,217_F2_1,ENSG00000123119,NECAB1
23252,217_F2_2,ENSG00000123119,NECAB1
25963,395_A9_1,ENSG00000123119,NECAB1
25963,395_A9_2,ENSG00000123119,NECAB1
57815,1049_E7_1,ENSG00000188010,MORN2
57815,1049_E7_2,ENSG00000188010,MORN2
30843,1617_H4_1,ENSG00000196793,ZNF239
30843,1617_H4_2,ENSG00000196793,ZNF239
